date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-07-15,Nigeria,Sweden,1,2,World Cup,Berlin,Nigeria,true
2023-09-21,Iraq,Ivory Coast,3,1,Continental Cup,Home City,Iraq,false
2023-09-29,United Arab Emirates,Germany,0,1,Friendly,Home City,United Arab Emirates,false
2018-09-05,Qatar,Denmark,3,2,Continental Cup,Home City,Qatar,false
2021-01-29,Serbia,Austria,1,1,WC Qualifier,Home City,Serbia,false
2020-03-08,Sweden,Iran,1,1,Continental Cup,Home City,Sweden,false
2025-10-24,Japan,Argentina,0,1,World Cup,Paris,Japan,true
2020-04-19,Costa Rica,Qatar,3,1,Continental Cup,Home City,Costa Rica,false
2024-05-09,Belgium,Nigeria,2,0,Nations League,Home City,Belgium,false
2026-05-22,Chile,Costa Rica,2,3,WC Qualifier,Home City,Chile,false
2025-12-07,South Africa,Italy,1,1,Friendly,Home City,South Africa,false
2018-04-07,Morocco,Brazil,2,0,WC Qualifier,Home City,Morocco,false
2018-05-29,Algeria,Uruguay,2,0,Continental Cup,Home City,Algeria,false
2025-12-05,South Africa,Iran,0,2,World Cup,Paris,South Africa,true
2019-08-12,Netherlands,Iran,4,0,WC Qualifier,Home City,Netherlands,false
2021-10-02,Denmark,Japan,5,0,WC Qualifier,Home City,Denmark,false
2025-06-11,Sweden,Switzerland,0,0,WC Qualifier,Home City,Sweden,false
2020-08-28,Morocco,Australia,2,1,Nations League,Home City,Morocco,false
2025-03-23,Colombia,Paraguay,0,0,WC Qualifier,Home City,Colombia,false
2026-04-15,Jamaica,Saudi Arabia,2,2,Friendly,Home City,Jamaica,false
2025-02-03,Costa Rica,Iraq,1,1,World Cup,Madrid,Costa Rica,true
2019-03-27,Costa Rica,Mexico,3,1,Friendly,Home City,Costa Rica,false
2024-04-15,Denmark,Germany,1,3,Friendly,Home City,Denmark,false
2023-02-26,South Korea,Saudi Arabia,1,1,WC Qualifier,Home City,South Korea,false
2023-03-03,Iraq,Paraguay,0,1,Friendly,Home City,Iraq,false
2025-12-02,Argentina,Senegal,1,0,WC Qualifier,Home City,Argentina,false
2021-11-27,Morocco,Jamaica,1,0,WC Qualifier,Home City,Morocco,false
2022-10-30,Argentina,Switzerland,3,0,Continental Cup,Home City,Argentina,false
2023-01-20,Croatia,Egypt,2,2,Friendly,Home City,Croatia,false
2019-08-23,Saudi Arabia,Jamaica,3,0,Continental Cup,Home City,Saudi Arabia,false
2023-01-31,Serbia,Iran,0,2,World Cup,Berlin,Serbia,true
2020-06-17,Sweden,Croatia,1,2,Friendly,Home City,Sweden,false
2018-07-23,Germany,Saudi Arabia,2,0,Continental Cup,Home City,Germany,false
2023-06-05,Serbia,France,2,0,Friendly,Home City,Serbia,false
2022-06-02,Chile,Saudi Arabia,0,1,Friendly,Home City,Chile,false
2018-01-13,Canada,Tunisia,2,0,Friendly,Home City,Canada,false
2024-06-06,Serbia,Chile,1,1,Friendly,Home City,Serbia,false
2025-09-19,Ivory Coast,Australia,2,1,WC Qualifier,Home City,Ivory Coast,false
2026-03-08,Canada,Iraq,6,0,WC Qualifier,Home City,Canada,false
2024-06-22,Saudi Arabia,Morocco,2,1,Friendly,Home City,Saudi Arabia,false
2019-03-25,South Africa,Canada,3,0,Nations League,Home City,South Africa,false
2023-03-30,Italy,Canada,1,1,Nations League,Home City,Italy,false
2018-04-09,South Korea,Tunisia,3,0,Nations League,Home City,South Korea,false
2019-10-06,Australia,Senegal,0,4,World Cup,Sydney,Australia,true
2018-08-30,Senegal,Germany,1,0,Continental Cup,Home City,Senegal,false
2020-08-09,Germany,Morocco,3,1,World Cup,Berlin,Germany,true
2025-07-08,Japan,South Korea,1,0,WC Qualifier,Home City,Japan,false
2023-10-07,France,Qatar,3,0,World Cup,Doha,France,true
2021-04-18,Australia,South Africa,4,0,Nations League,Home City,Australia,false
2019-12-30,Germany,England,0,1,Nations League,Home City,Germany,false
2021-12-30,South Korea,Cameroon,2,1,Nations League,Home City,South Korea,false
2024-03-10,Nigeria,France,0,3,World Cup,Paris,Nigeria,true
2018-09-27,Chile,Mexico,1,2,World Cup,New York,Chile,true
2018-12-03,South Korea,Algeria,1,1,Continental Cup,Home City,South Korea,false
2019-12-31,Senegal,Costa Rica,2,1,Friendly,Home City,Senegal,false
2021-12-23,Norway,Paraguay,1,0,Nations League,Home City,Norway,false
2022-10-07,Senegal,Panama,2,0,WC Qualifier,Home City,Senegal,false
2019-08-25,Costa Rica,Norway,3,0,Nations League,Home City,Costa Rica,false
2023-06-14,Austria,USA,0,0,WC Qualifier,Home City,Austria,false
2018-07-26,Panama,Jamaica,5,1,Nations League,Home City,Panama,false
2024-03-21,Paraguay,Wales,2,0,WC Qualifier,Home City,Paraguay,false
2018-12-14,Japan,Italy,1,1,WC Qualifier,Home City,Japan,false
2025-10-06,Peru,Algeria,3,1,World Cup,New York,Peru,true
2018-09-29,Italy,Croatia,2,0,World Cup,Sydney,Italy,true
2024-05-20,Belgium,Canada,1,1,WC Qualifier,Home City,Belgium,false
2021-12-14,Germany,Peru,1,1,Friendly,Home City,Germany,false
2024-04-10,Egypt,Uruguay,0,2,Nations League,Home City,Egypt,false
2022-02-11,Egypt,Sweden,2,1,Friendly,Home City,Egypt,false
2025-05-04,Tunisia,Panama,5,1,WC Qualifier,Home City,Tunisia,false
2019-08-11,Ivory Coast,Morocco,2,0,Nations League,Home City,Ivory Coast,false
2019-03-12,Tunisia,Uruguay,0,1,Friendly,Home City,Tunisia,false
2021-03-27,Iraq,Paraguay,3,1,WC Qualifier,Home City,Iraq,false
2021-09-20,Panama,Austria,3,1,WC Qualifier,Home City,Panama,false
2023-08-11,Qatar,Peru,1,3,Continental Cup,Home City,Qatar,false
2020-02-29,Wales,Jamaica,1,0,Nations League,Home City,Wales,false
2024-08-24,Argentina,Colombia,2,2,WC Qualifier,Home City,Argentina,false
2023-04-25,United Arab Emirates,Netherlands,0,0,Nations League,Home City,United Arab Emirates,false
2020-09-30,Iran,Cameroon,1,0,Continental Cup,Home City,Iran,false
2024-08-16,Denmark,Brazil,0,4,Friendly,Home City,Denmark,false
2024-10-15,Mexico,Netherlands,1,2,Nations League,Home City,Mexico,false
2021-09-03,England,Austria,2,0,World Cup,Paris,England,true
2021-06-01,Switzerland,Japan,4,3,World Cup,Sydney,Switzerland,true
2019-03-14,Panama,Sweden,1,0,Friendly,Home City,Panama,false
2022-06-13,Portugal,Austria,4,3,Continental Cup,Home City,Portugal,false
2022-12-26,Denmark,Qatar,3,2,WC Qualifier,Home City,Denmark,false
2023-07-15,Morocco,Portugal,1,1,Continental Cup,Home City,Morocco,false
2023-08-09,Egypt,Morocco,3,2,Friendly,Home City,Egypt,false
2024-01-24,Senegal,USA,2,0,WC Qualifier,Home City,Senegal,false
2025-01-07,Nigeria,Saudi Arabia,2,0,Nations League,Home City,Nigeria,false
2018-09-26,Spain,Tunisia,3,0,WC Qualifier,Home City,Spain,false
2023-09-03,Ecuador,Mexico,2,1,World Cup,Doha,Ecuador,true
2022-01-02,Croatia,Tunisia,3,0,Nations League,Home City,Croatia,false
2024-06-27,Switzerland,Morocco,2,1,WC Qualifier,Home City,Switzerland,false
2019-10-28,Italy,Qatar,1,0,Continental Cup,Home City,Italy,false
2022-03-08,Ecuador,New Zealand,0,0,WC Qualifier,Home City,Ecuador,false
2023-10-31,Iraq,Colombia,3,1,Nations League,Home City,Iraq,false
2024-12-15,South Korea,Morocco,1,2,Friendly,Home City,South Korea,false
2025-10-07,Chile,Egypt,3,0,Friendly,Home City,Chile,false
2021-12-04,Canada,Ivory Coast,0,0,Nations League,Home City,Canada,false
2026-03-23,Belgium,Panama,6,0,WC Qualifier,Home City,Belgium,false
2019-12-18,Netherlands,Wales,3,0,Continental Cup,Home City,Netherlands,false
2023-02-12,Netherlands,Egypt,2,0,Nations League,Home City,Netherlands,false
2024-03-28,Wales,Ecuador,0,0,Nations League,Home City,Wales,false
2026-03-26,Norway,South Africa,2,1,Continental Cup,Home City,Norway,false
2018-02-15,Colombia,Jamaica,3,0,Continental Cup,Home City,Colombia,false
2018-03-24,Switzerland,Uruguay,7,3,WC Qualifier,Home City,Switzerland,false
2021-12-17,Sweden,Algeria,1,0,Friendly,Home City,Sweden,false
2021-03-19,Argentina,Costa Rica,4,0,Continental Cup,Home City,Argentina,false
2023-10-07,England,Jamaica,2,0,Continental Cup,Home City,England,false
2020-06-20,Chile,Egypt,3,1,Continental Cup,Home City,Chile,false
2025-12-27,Wales,Ivory Coast,1,1,Nations League,Home City,Wales,false
2025-11-29,Japan,Uruguay,2,0,Nations League,Home City,Japan,false
2020-01-19,Brazil,Paraguay,1,0,Friendly,Home City,Brazil,false
2018-12-27,Ivory Coast,Australia,4,0,Continental Cup,Home City,Ivory Coast,false
2020-11-28,Serbia,Switzerland,1,3,Continental Cup,Home City,Serbia,false
2019-02-25,Uruguay,Italy,0,4,World Cup,Dubai,Uruguay,true
2019-03-09,Chile,Jamaica,0,0,World Cup,Paris,Chile,true
2023-01-11,Cameroon,Chile,0,3,Continental Cup,Home City,Cameroon,false
2019-05-20,Serbia,Jamaica,2,2,World Cup,Paris,Serbia,true
2019-07-19,Argentina,Saudi Arabia,5,0,Nations League,Home City,Argentina,false
2025-10-03,Chile,Ivory Coast,1,0,Friendly,Home City,Chile,false
2021-02-04,Sweden,Norway,1,1,World Cup,Madrid,Sweden,true
2024-11-01,Denmark,Switzerland,1,2,Continental Cup,Home City,Denmark,false
2025-08-02,France,Ecuador,2,1,Continental Cup,Home City,France,false
2021-11-04,Switzerland,New Zealand,3,0,World Cup,London,Switzerland,true
2018-04-07,Argentina,Peru,3,0,World Cup,New York,Argentina,true
2020-06-03,Sweden,Ivory Coast,0,1,World Cup,New York,Sweden,true
2020-12-19,Norway,Netherlands,2,2,Nations League,Home City,Norway,false
2024-05-11,Peru,Panama,6,0,Friendly,Home City,Peru,false
2022-11-09,Egypt,Belgium,1,1,Continental Cup,Home City,Egypt,false
2018-04-07,Spain,Algeria,2,0,Friendly,Home City,Spain,false
2018-06-03,Serbia,Uruguay,1,0,Nations League,Home City,Serbia,false
2023-11-21,Tunisia,South Africa,2,2,Friendly,Home City,Tunisia,false
2019-12-04,Uruguay,Jamaica,2,1,Friendly,Home City,Uruguay,false
2024-01-30,Morocco,Paraguay,0,2,WC Qualifier,Home City,Morocco,false
2019-12-07,Iraq,Iran,5,4,WC Qualifier,Home City,Iraq,false
2022-11-04,Germany,Paraguay,3,1,Nations League,Home City,Germany,false
2019-10-18,Germany,United Arab Emirates,4,0,Nations League,Home City,Germany,false
2022-05-02,United Arab Emirates,Saudi Arabia,1,1,WC Qualifier,Home City,United Arab Emirates,false
2024-01-29,Spain,Wales,3,0,WC Qualifier,Home City,Spain,false
2019-12-26,Italy,Serbia,1,1,Continental Cup,Home City,Italy,false
2025-08-19,United Arab Emirates,Ecuador,2,1,Friendly,Home City,United Arab Emirates,false
2020-10-08,Sweden,Peru,2,1,Friendly,Home City,Sweden,false
2019-11-27,Argentina,United Arab Emirates,3,0,World Cup,Doha,Argentina,true
2026-03-13,Belgium,England,3,1,Continental Cup,Home City,Belgium,false
2022-09-17,Iran,Morocco,1,1,Continental Cup,Home City,Iran,false
2022-11-09,Australia,Croatia,2,0,Friendly,Home City,Australia,false
2018-02-17,Canada,Saudi Arabia,1,1,World Cup,Madrid,Canada,true
2025-09-20,Panama,Paraguay,1,1,Friendly,Home City,Panama,false
2023-01-16,Serbia,Germany,1,2,WC Qualifier,Home City,Serbia,false
2018-09-11,Norway,Germany,0,3,World Cup,Dubai,Norway,true
2018-08-01,Ivory Coast,Jamaica,3,1,WC Qualifier,Home City,Ivory Coast,false
2019-12-29,Sweden,United Arab Emirates,2,0,World Cup,Dubai,Sweden,true
2021-12-16,Saudi Arabia,Tunisia,1,2,Nations League,Home City,Saudi Arabia,false
2020-03-09,New Zealand,Algeria,0,0,Continental Cup,Home City,New Zealand,false
2022-10-24,Wales,Mexico,0,0,World Cup,New York,Wales,true
2023-03-05,England,Ecuador,1,0,World Cup,Berlin,England,true
2020-08-10,France,Ivory Coast,2,0,World Cup,New York,France,true
2021-08-04,Norway,Saudi Arabia,2,0,WC Qualifier,Home City,Norway,false
2019-01-05,United Arab Emirates,Egypt,0,2,WC Qualifier,Home City,United Arab Emirates,false
2023-09-23,Costa Rica,Canada,1,1,World Cup,Sydney,Costa Rica,true
2024-08-24,Mexico,Saudi Arabia,2,0,Friendly,Home City,Mexico,false
2024-11-22,Spain,Netherlands,0,3,WC Qualifier,Home City,Spain,false
2018-12-29,Serbia,Uruguay,3,1,Friendly,Home City,Serbia,false
2025-06-13,Ecuador,Portugal,1,4,WC Qualifier,Home City,Ecuador,false
2025-04-04,Panama,Belgium,0,1,Friendly,Home City,Panama,false
2021-03-01,Senegal,Netherlands,2,0,Friendly,Home City,Senegal,false
2024-11-21,Netherlands,Panama,3,0,World Cup,Dubai,Netherlands,true
2019-09-22,Belgium,Spain,1,1,Continental Cup,Home City,Belgium,false
2022-09-04,Qatar,Jamaica,1,1,Continental Cup,Home City,Qatar,false
2019-08-22,South Africa,Ecuador,1,2,WC Qualifier,Home City,South Africa,false
2021-08-16,Costa Rica,Cameroon,1,2,Nations League,Home City,Costa Rica,false
2025-09-03,Panama,England,0,3,World Cup,Doha,Panama,true
2022-04-11,Iraq,Egypt,2,1,Nations League,Home City,Iraq,false
2019-06-07,Ivory Coast,Tunisia,4,2,Nations League,Home City,Ivory Coast,false
2020-10-25,South Africa,USA,0,1,Nations League,Home City,South Africa,false
2026-05-02,Portugal,Chile,3,0,Nations League,Home City,Portugal,false
2024-04-13,England,Denmark,2,0,Continental Cup,Home City,England,false
2020-03-23,Algeria,Croatia,3,1,WC Qualifier,Home City,Algeria,false
2021-10-15,Spain,Croatia,3,0,Continental Cup,Home City,Spain,false
2020-07-08,Croatia,New Zealand,1,0,Continental Cup,Home City,Croatia,false
2021-05-13,Belgium,Egypt,4,2,Continental Cup,Home City,Belgium,false
2024-11-19,Germany,Switzerland,1,1,World Cup,Sydney,Germany,true
2022-09-13,Wales,Qatar,1,1,Friendly,Home City,Wales,false
2023-12-29,Morocco,Tunisia,5,1,Friendly,Home City,Morocco,false
2023-07-16,Qatar,Austria,1,2,Friendly,Home City,Qatar,false
2023-02-01,Jamaica,Croatia,0,2,WC Qualifier,Home City,Jamaica,false
2022-09-27,Austria,Switzerland,1,1,Friendly,Home City,Austria,false
2019-12-30,Argentina,Costa Rica,1,0,Nations League,Home City,Argentina,false
2021-12-28,England,Iraq,1,0,Continental Cup,Home City,England,false
2020-04-27,Sweden,Ecuador,1,0,Friendly,Home City,Sweden,false
2019-06-26,Saudi Arabia,Chile,5,1,Nations League,Home City,Saudi Arabia,false
2023-12-07,Wales,Croatia,3,1,Nations League,Home City,Wales,false
2021-02-14,Norway,France,1,1,Nations League,Home City,Norway,false
2024-07-08,Australia,England,2,2,Continental Cup,Home City,Australia,false
2020-02-07,Switzerland,Morocco,1,2,Nations League,Home City,Switzerland,false
2018-10-22,Italy,Egypt,2,0,WC Qualifier,Home City,Italy,false
2024-12-24,Colombia,Cameroon,2,0,Friendly,Home City,Colombia,false
2019-03-22,Sweden,Canada,4,2,Friendly,Home City,Sweden,false
2019-04-10,USA,Panama,0,0,WC Qualifier,Home City,USA,false
2024-12-18,New Zealand,Japan,0,0,Continental Cup,Home City,New Zealand,false
2023-12-22,Jamaica,Qatar,0,1,WC Qualifier,Home City,Jamaica,false
2020-10-08,Ivory Coast,Jamaica,4,0,Friendly,Home City,Ivory Coast,false
2021-11-03,Denmark,Portugal,2,0,Friendly,Home City,Denmark,false
2019-01-01,Denmark,Sweden,3,2,WC Qualifier,Home City,Denmark,false
2023-08-07,Chile,Mexico,2,2,Friendly,Home City,Chile,false
2023-12-13,Italy,Wales,3,1,Friendly,Home City,Italy,false
2019-12-15,Canada,Qatar,2,2,Nations League,Home City,Canada,false
2025-06-23,Paraguay,Uruguay,2,2,Nations League,Home City,Paraguay,false
2023-12-02,Qatar,Saudi Arabia,3,0,Friendly,Home City,Qatar,false
2024-12-09,Jamaica,Brazil,0,4,WC Qualifier,Home City,Jamaica,false
2021-08-05,South Korea,Uruguay,1,2,Continental Cup,Home City,South Korea,false
2026-02-07,Colombia,South Africa,2,0,Continental Cup,Home City,Colombia,false
2021-11-26,Egypt,South Africa,1,0,WC Qualifier,Home City,Egypt,false
2019-01-28,Denmark,Uruguay,1,2,Friendly,Home City,Denmark,false
2025-07-13,Nigeria,Algeria,3,2,World Cup,Doha,Nigeria,true
2018-10-22,Denmark,England,3,1,World Cup,Paris,Denmark,true
2024-04-05,Norway,Nigeria,0,2,World Cup,New York,Norway,true
2018-01-06,Portugal,Senegal,2,2,Continental Cup,Home City,Portugal,false
2018-08-14,Costa Rica,Saudi Arabia,0,1,Continental Cup,Home City,Costa Rica,false
2022-12-04,New Zealand,USA,2,0,Friendly,Home City,New Zealand,false
2024-02-27,Saudi Arabia,Wales,1,2,Friendly,Home City,Saudi Arabia,false
2024-08-04,Portugal,Netherlands,1,2,Continental Cup,Home City,Portugal,false
2025-09-15,Peru,Nigeria,7,0,Continental Cup,Home City,Peru,false
2025-03-15,Ecuador,Spain,0,2,WC Qualifier,Home City,Ecuador,false
2019-04-06,Brazil,Italy,3,1,WC Qualifier,Home City,Brazil,false
2019-11-18,Egypt,Peru,0,0,Nations League,Home City,Egypt,false
2024-09-06,Paraguay,Costa Rica,1,2,World Cup,Paris,Paraguay,true
2026-05-23,South Africa,Croatia,0,1,Continental Cup,Home City,South Africa,false
2021-07-25,Tunisia,Panama,5,1,Continental Cup,Home City,Tunisia,false
2019-03-31,Senegal,Germany,0,3,World Cup,Madrid,Senegal,true
2025-06-26,Uruguay,Qatar,1,0,Nations League,Home City,Uruguay,false
2023-03-08,Japan,Saudi Arabia,2,0,Continental Cup,Home City,Japan,false
2018-11-13,Argentina,Croatia,3,0,Friendly,Home City,Argentina,false
2019-10-23,United Arab Emirates,USA,1,1,World Cup,London,United Arab Emirates,true
2022-02-08,Qatar,Switzerland,2,1,World Cup,Dubai,Qatar,true
2021-11-04,Croatia,Qatar,2,0,WC Qualifier,Home City,Croatia,false
2025-06-19,Jamaica,Italy,2,5,WC Qualifier,Home City,Jamaica,false
2025-08-13,Denmark,Sweden,1,0,World Cup,Paris,Denmark,true
2021-10-28,Egypt,Australia,1,0,Continental Cup,Home City,Egypt,false
2020-11-24,Egypt,Germany,1,0,Continental Cup,Home City,Egypt,false
2018-03-26,Ecuador,Spain,2,1,Continental Cup,Home City,Ecuador,false
2023-03-28,New Zealand,Australia,2,2,Nations League,Home City,New Zealand,false
2022-07-06,Mexico,Denmark,0,0,Continental Cup,Home City,Mexico,false
2026-04-05,Chile,Ecuador,0,1,Nations League,Home City,Chile,false
2019-07-18,Netherlands,Saudi Arabia,5,0,Nations League,Home City,Netherlands,false
2018-02-27,Croatia,Norway,1,1,Friendly,Home City,Croatia,false
2026-01-08,Japan,Panama,2,0,WC Qualifier,Home City,Japan,false
2020-04-06,South Africa,Germany,0,3,World Cup,London,South Africa,true
2022-11-13,Austria,Colombia,0,2,Continental Cup,Home City,Austria,false
2020-09-30,Algeria,South Africa,3,0,World Cup,London,Algeria,true
2023-04-21,Ivory Coast,England,0,2,Friendly,Home City,Ivory Coast,false
2025-05-12,England,USA,0,1,WC Qualifier,Home City,England,false
2021-09-19,USA,Jamaica,2,0,World Cup,Dubai,USA,true
2022-10-05,Austria,Chile,4,1,WC Qualifier,Home City,Austria,false
2024-04-26,Austria,Peru,3,0,Continental Cup,Home City,Austria,false
2018-12-26,Morocco,Saudi Arabia,1,0,World Cup,New York,Morocco,true
2019-11-26,Japan,Switzerland,1,2,Friendly,Home City,Japan,false
2023-10-25,Saudi Arabia,Jamaica,2,0,Nations League,Home City,Saudi Arabia,false
2022-11-06,Senegal,USA,2,0,Nations League,Home City,Senegal,false
2026-01-26,Austria,Panama,2,0,World Cup,London,Austria,true
2022-02-09,Norway,France,1,3,WC Qualifier,Home City,Norway,false
2022-12-19,England,Norway,2,1,Continental Cup,Home City,England,false
2023-04-16,Costa Rica,Nigeria,2,0,Continental Cup,Home City,Costa Rica,false
2019-08-21,Nigeria,Senegal,1,0,World Cup,London,Nigeria,true
2024-05-04,Chile,Switzerland,1,1,WC Qualifier,Home City,Chile,false
2025-02-11,Uruguay,South Korea,0,1,WC Qualifier,Home City,Uruguay,false
2024-01-30,South Africa,South Korea,0,1,World Cup,London,South Africa,true
2018-07-29,Costa Rica,Cameroon,2,0,World Cup,Berlin,Costa Rica,true
2021-01-23,Switzerland,Paraguay,3,1,Nations League,Home City,Switzerland,false
2022-08-14,Iran,Brazil,3,5,World Cup,Dubai,Iran,true
2018-10-28,Brazil,Mexico,5,0,World Cup,Sydney,Brazil,true
2019-08-16,Jamaica,Germany,0,2,Friendly,Home City,Jamaica,false
2018-02-21,Wales,Serbia,2,0,Nations League,Home City,Wales,false
2024-03-01,Morocco,Italy,1,1,Nations League,Home City,Morocco,false
2023-11-23,Mexico,Wales,0,0,Friendly,Home City,Mexico,false
2020-04-21,Tunisia,Argentina,0,1,WC Qualifier,Home City,Tunisia,false
2021-08-21,Serbia,Mexico,1,1,WC Qualifier,Home City,Serbia,false
2025-10-05,Mexico,Argentina,0,1,Friendly,Home City,Mexico,false
2021-01-05,Austria,Switzerland,0,1,WC Qualifier,Home City,Austria,false
2024-01-23,Norway,France,1,4,World Cup,Paris,Norway,true
2020-09-26,USA,Panama,2,1,Nations League,Home City,USA,false
2021-06-05,Iran,Uruguay,2,2,WC Qualifier,Home City,Iran,false
2018-01-24,Paraguay,Serbia,2,1,WC Qualifier,Home City,Paraguay,false
2024-10-09,Algeria,Nigeria,2,0,World Cup,Berlin,Algeria,true
2021-04-28,Netherlands,New Zealand,4,0,World Cup,Sydney,Netherlands,true
2019-12-02,Wales,Japan,0,2,WC Qualifier,Home City,Wales,false
2023-04-03,Ecuador,Saudi Arabia,4,0,Friendly,Home City,Ecuador,false
2018-03-03,Iran,Denmark,0,0,Friendly,Home City,Iran,false
2022-11-04,Netherlands,Serbia,2,0,Continental Cup,Home City,Netherlands,false
2025-03-25,Saudi Arabia,Senegal,1,0,Friendly,Home City,Saudi Arabia,false
2023-07-11,Belgium,Spain,0,1,Continental Cup,Home City,Belgium,false
2023-09-06,Mexico,Denmark,0,0,WC Qualifier,Home City,Mexico,false
2018-04-29,Portugal,Netherlands,2,2,Nations League,Home City,Portugal,false
2021-03-11,Iran,South Korea,5,1,Friendly,Home City,Iran,false
2024-09-21,Chile,South Africa,2,1,Continental Cup,Home City,Chile,false
2020-09-28,Morocco,Portugal,2,2,Continental Cup,Home City,Morocco,false
2018-01-10,Portugal,Iraq,2,0,WC Qualifier,Home City,Portugal,false
2026-02-13,Argentina,Jamaica,2,0,Friendly,Home City,Argentina,false
2023-11-26,Egypt,Australia,2,0,Continental Cup,Home City,Egypt,false
2023-07-05,Colombia,Nigeria,4,1,WC Qualifier,Home City,Colombia,false
2026-05-04,England,Portugal,0,1,WC Qualifier,Home City,England,false
2023-10-29,Morocco,Costa Rica,6,0,WC Qualifier,Home City,Morocco,false
2018-01-16,Qatar,South Africa,1,0,Nations League,Home City,Qatar,false
2021-05-22,Croatia,Netherlands,2,0,Nations League,Home City,Croatia,false
2023-02-19,Germany,Mexico,1,0,World Cup,Berlin,Germany,true
2018-11-04,Italy,Colombia,1,0,WC Qualifier,Home City,Italy,false
2025-02-06,Sweden,Spain,0,0,Nations League,Home City,Sweden,false
2020-11-07,Serbia,Ecuador,3,3,Continental Cup,Home City,Serbia,false
2020-10-06,Canada,Brazil,1,4,Friendly,Home City,Canada,false
